Key;Capacity;Load
0;0;213302747
0;0;96811846
0;0;96811846
0;0;28198359
0;0;26074220
0;0;20274618
0;0;87678035
0;0;87678035
0;0;25315611
0;0;27415657
0;0;21164380
0;0;87081349
0;0;87081349
0;0;27439742
0;0;21372652
0;0;22139671
0;0;24395748
0;0;199251210
0;0;109863853
0;0;109863853
0;0;29518559
0;0;26326149
0;0;106882485
0;0;106882485
0;0;26414187
0;0;21655845
0;0;88353050
0;0;88353050
0;0;108114500
0;0;108114500
0;0;116481301
0;0;116481301
0;0;29433897
0;0;21890244
0;0;117685819
0;0;117685819
0;0;25290499
0;0;22207938
0;0;88949037
0;0;88949037
0;0;105967169
0;0;105967169
0;0;26540555
0;0;29009581
0;0;89254497
0;0;89254497
0;0;96870145
0;0;96870145
0;0;25006360
0;0;20329381
0;0;27267861
0;0;186855839
0;0;182648550
0;0;88514679
0;0;88514679
0;0;23074076
0;0;26514477
0;0;23955876
0;0;118776464
0;0;118776464
0;0;22991281
0;0;29112418
0;0;20794668
0;0;85577082
0;0;85577082
0;0;22971057
0;0;27317393
0;0;121247424
0;0;121247424
0;0;22490839
0;0;25418298
0;0;26582426
0;0;105726119
0;0;105726119
0;0;25329713
0;0;25029501
0;0;79045317
0;0;79045317
0;0;24348496
0;0;22983224
0;0;255745631
0;0;110945777
0;0;110945777
0;0;26269182
0;0;25423772
1;0;226765650
1;241999040;0
1;382635838;0
1;291629372;0
2;0;208939617
2;130918331;0
2;131833110;0
3;0;162310400
3;161908098;0
3;219778584;0
4;0;178817352
4;152279330;0
4;132508986;0
5;0;175388585
5;0;243032031
5;0;232836437
5;200301465;0
5;148178856;0
6;0;204644960
6;122352561;0
6;182709668;0
7;0;155738803
7;122456466;0
7;85799285;0
8;0;242827234
8;3292711010;0
