Key;Capacity;Load
0;0;226765650
0;241999040;0
0;0;96811846
0;0;96811846
0;0;28198359
0;0;26074220
0;0;20274618
0;382635838;0
0;0;87678035
0;0;87678035
0;0;25315611
0;0;27415657
0;0;21164380
0;291629372;0
0;0;87081349
0;0;87081349
0;0;27439742
0;0;21372652
0;0;22139671
0;0;24395748
0;0;208939617
0;130918331;0
0;0;109863853
0;0;109863853
0;0;29518559
0;0;26326149
0;131833110;0
0;0;106882485
0;0;106882485
0;0;26414187
0;0;21655845
0;0;162310400
0;161908098;0
0;0;88353050
0;0;88353050
0;0;108114500
0;0;108114500
0;0;116481301
0;0;116481301
0;0;29433897
0;0;21890244
0;219778584;0
0;0;117685819
0;0;117685819
0;0;25290499
0;0;22207938
0;0;178817352
0;152279330;0
0;0;88949037
0;0;88949037
0;0;105967169
0;0;105967169
0;0;26540555
0;0;29009581
0;132508986;0
0;0;89254497
0;0;89254497
0;0;96870145
0;0;96870145
0;0;25006360
0;0;20329381
0;0;27267861
0;0;175388585
0;0;243032031
0;0;232836437
0;200301465;0
0;0;88514679
0;0;88514679
0;0;23074076
0;0;26514477
0;0;23955876
0;148178856;0
0;0;118776464
0;0;118776464
0;0;22991281
0;0;29112418
0;0;20794668
0;0;204644960
0;122352561;0
0;0;85577082
0;0;85577082
0;0;22971057
0;0;27317393
0;182709668;0
0;0;121247424
0;0;121247424
0;0;22490839
0;0;25418298
0;0;26582426
0;0;155738803
0;122456466;0
0;0;105726119
0;0;105726119
0;0;25329713
0;0;25029501
0;85799285;0
0;0;79045317
0;0;79045317
0;0;24348496
0;0;22983224
0;0;242827234
0;3292711010;0
0;0;110945777
0;0;110945777
0;0;26269182
0;0;25423772
1;0;213302747
2;0;199251210
3;0;186855839
3;0;182648550
4;0;255745631
